iata_code,latitude,longitude,country_code,country_name,city_code_list,city_name_list
TVU,-16.8374,-179.95537,FJ,Fiji,TVU,Taveuni Island
LUC,-16.75,-179.68333,FJ,Fiji,LUC,Laucala Island
ICI,-17.7433,-179.342,FJ,Fiji,ICI,Cicia Island
VBV,-17.2448,-178.95913,FJ,Fiji,VBV,Vanuabalavu Island
NFO,-18.19917,-178.816942,TO,Tonga,NFO,Mata'aho Airport
LKB,-18.19959,-178.81665,FJ,Fiji,LKB,Lakeba Island
ONU,-20.64921,-178.74224,FJ,Fiji,ONU,Ono-i-Lau Island
FUT,-14.28801,-178.12511,WF,Wallis and Futuna,FUT,Futuna Island
MDY,28.20172,-177.38064,UM,United States Minor Outlying Islands,MDY,Sand Island
ADK,51.87,-176.7,US,United States,ADK,Adak Airport
CHT,-43.81,-176.457222,NZ,New Zealand,CHT,Chatham Island
WLS,-13.28188,-176.20663,WF,Wallis and Futuna,WLS,Wallis Island
TBU,-21.241214,-175.149644,TO,Tonga,TBU,Fuaʻamotu International Airport
EUA,-21.36407,-174.93866,TO,Tonga,EUA,Eua
HPA,-19.82041,-174.34813,TO,Tonga,HPA,Lifuka Island
AKB,52.19611,-174.20056,US,United States,AKB,Atka
VAV,-18.61859,-173.9649,TO,Tonga,VAV,Vava‘u Island
NTT,-15.97688,-173.79178,TO,Tonga,NTT,Niuatoputapu Island
PVS,64.378139,-173.243306,RU,Russia,PVS,Provideniya
AAU,-13.51963,-172.63784,WS,Samoa,AAU,Asau
MXS,-13.73,-172.3,WS,Samoa,MXS,Maota Airport
APW,-13.82997,-172.00834,WS,Samoa,APW,Apia
LAV,-13.92,-172,WS,Samoa,LAV,Lalomalava
ZQB,51,-172,US,United States,ZQB,
GAM,63.77972,-171.74111,US,United States,GAM,Gambell
CIS,-2.768122,-171.710394,KI,Kiribati,CIS,Kanton Airport
FGI,-14.331,-170.7105,AS,American Samoa,PPG,Pago Pago
PPG,63.68639,-170.4925,US,United States,SVA,Savoonga
SVA,57.167333,-170.220444,US,United States,SNP,Saint Paul Island Airport
SNP,57.17,-170.2,US,United States,BAR,Baker Island AK US Baker Aaf
BAR,-19.080028,-169.925639,NU,Niue,IUE,Alofi / Niue
IUE,-14.18,-169.7,AS,American Samoa,OFU,Ofu
OFU,56.57766,-169.66302,US,United States,STG,Saint George Island
STG,-14.22,-169.5,AS,American Samoa,FTI,Fitiuta Airport
FTI,16.73,-169.5,UM,United States Minor Outlying Islands,JON,Johnston Island
